zaman,simülasyon_adımı,hata_çeşidi,açıklama,sensör_simülasyon_durumu,yolo_sonuç,nesne_sıcaklık_c,tork_nm,devir_rpm
2026-03-28T21:12:27,59,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,97.41,82.26,1147.21
2026-03-28T21:12:51,0,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,101.91,78.24,1133.61
2026-03-28T21:12:52,1,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,101.27,80.42,1102.51
2026-03-28T21:12:57,7,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,101.56,85.65,1135.3
2026-03-28T21:13:03,14,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,99.6,79.13,1175.5
2026-03-28T21:13:05,16,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,96.32,83.87,1109.64
2026-03-28T21:13:09,21,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,95.02,84.35,1182.6
2026-03-28T21:13:10,22,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,104.16,79.69,1130.02
2026-03-28T21:13:11,23,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,103.53,81.86,1102.33
2026-03-28T21:13:14,26,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,99.52,79.13,1189.53
2026-03-28T21:13:15,27,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,99.43,89.3,1175.33
2026-03-28T21:14:50,4,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.56,79.75,1176.91
2026-03-28T21:14:53,7,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,95.99,82.07,1184.48
2026-03-28T21:14:57,16,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,103.23,78.12,1189.89
2026-03-28T21:15:00,19,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.22,76.85,1140.06
2026-03-28T21:15:06,22,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,102.93,76.38,1112.2
2026-03-28T21:15:07,27,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,100.84,86.03,1140.86
2026-03-28T21:15:10,31,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.47,81.84,1112.61
2026-03-28T21:15:11,27,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,99.34,85.31,1159.02
2026-03-28T21:15:12,33,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,100.29,88.21,1169.91
2026-03-28T21:15:14,30,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,104.83,75.7,1188.25
2026-03-28T21:15:14,35,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,104.67,76.62,1159.82
2026-03-28T21:15:16,37,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.34,84.63,1105.07
2026-03-28T21:15:44,3,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,102.95,76.17,1152.81
2026-03-28T21:15:46,5,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,100.61,88.84,1178.95
2026-03-28T21:15:51,10,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,101.9,87.62,1147.33
2026-03-28T21:15:56,16,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,102.34,89.59,1163.54
2026-03-28T21:16:04,24,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,98.69,82.04,1135.87
2026-03-28T21:16:05,25,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.72,80.22,1109.74
2026-03-28T21:16:06,26,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,100.03,81.09,1103.52
2026-03-28T21:16:08,28,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,103.31,86.6,1150.75
2026-03-28T21:17:07,2,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,99.72,82.99,1158.27
2026-03-28T21:17:08,3,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,101.98,81.54,1132.62
2026-03-28T21:17:10,5,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,103.04,77.91,1143.88
2026-03-28T21:17:11,6,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,101.22,75.99,1162.91
2026-03-28T21:17:13,5,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,96.35,87.67,1163.8
2026-03-28T21:17:14,10,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,103.01,81.33,1102.71
2026-03-28T21:17:15,7,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,103.74,75.06,1181.23
2026-03-28T21:17:17,10,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,100.41,82.41,1182.5
2026-03-28T21:17:24,18,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,97.17,81.39,1136.6
2026-03-28T21:17:25,19,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,103.98,83.25,1192.51
2026-03-28T21:17:27,21,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,100.07,89.51,1133.91
2026-03-28T21:17:29,26,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,97.55,78.38,1160.17
2026-03-28T21:17:30,24,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,103.79,77.7,1180.88
2026-03-28T21:17:31,28,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,95.67,81.35,1169.75
2026-03-28T21:20:31,7,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,97.95,78.73,1183.27
2026-03-28T21:20:34,10,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,100.59,83.09,1179.15
2026-03-28T21:20:44,21,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,103.84,89.23,1167.23
2026-03-28T21:20:54,33,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,101.64,87.76,1198.78
2026-03-28T21:21:00,39,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,103.01,79.37,1189.2
2026-03-28T21:21:03,42,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,102.86,81.89,1184.78
2026-03-28T21:21:05,45,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,103.74,77.16,1122.98
2026-03-28T21:21:09,49,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,101.76,84.0,1152.09
2026-03-28T21:21:12,52,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,102.6,84.6,1179.63
2026-03-28T23:29:59,19,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,99.84,75.06,1158.74
2026-03-30T12:55:59,1,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.46,77.66,1188.87
2026-03-30T12:56:13,3,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,99.08,83.26,1102.82
2026-03-30T12:56:21,12,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,104.2,83.19,1190.26
2026-03-30T12:56:33,26,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,104.82,86.47,1191.23
2026-03-30T12:56:34,27,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,96.08,89.45,1118.5
2026-03-30T12:56:36,29,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,103.03,84.51,1133.07
2026-03-30T12:56:42,35,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,104.24,86.82,1136.77
2026-03-30T12:56:47,41,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,103.97,77.63,1170.05
2026-03-30T12:56:51,45,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,104.21,78.09,1114.35
2026-03-30T12:56:55,50,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,96.05,83.41,1155.44
2026-03-30T12:56:57,52,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,96.35,76.44,1136.05
2026-03-30T17:14:31,0,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,97.63,77.59,1103.09
2026-03-30T17:14:32,1,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,104.9,85.82,1107.82
2026-03-30T17:14:38,8,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,99.03,79.37,1191.42
2026-03-30T17:14:39,9,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,102.32,81.56,1172.14
2026-03-30T17:14:47,0,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,99.47,78.92,1105.21
2026-03-30T17:14:47,1,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,100.18,88.72,1121.96
2026-03-30T17:14:53,7,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,104.73,84.2,1167.81
2026-03-30T17:15:01,4,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,104.24,83.0,1173.48
2026-03-30T17:15:11,1,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,101.18,89.18,1146.76
